"","price.index","arr_time.x","dep_time.x","dur_hours.x","dur_minutes.x","parse_time.x","fl_class.x","fl_from.x","fl_to.x","arr_time.y","dep_time.y","dur_hours.y","dur_minutes.y","parse_time.y","fl_class.y","fl_from.y","fl_to.y","changes1","changes2","ncomp","options1","options2","price","stops1","stops2","opt.sum","Aeroflot","Aigle Azur","Air Berlin","Air France","Alitalia","British Airways","Czech Airlines","Finnair","KLM","LOT Polish Airlines","Lufthansa","Niki Luftfahrt","Rossiya","SAS","Swiss","Transaero","Tyrolean","Ukraine Intl"
"1",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,13710,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",0,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,13710,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:45","2013-05-28 07:35",6,10,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14167,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",1,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 23:20","2013-05-28 13:20",8,0,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14167,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:45",6,45,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14530,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6",2,"2013-05-15 12:10","2013-05-15 07:25",6,45,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 13:20",6,10,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14530,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",3,"2013-05-15 11:40","2013-05-15 07:00",6,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:40",6,50,"2013-05-10 23:51","E","MOW","PAR",1,2,1,1,2,14547,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8",3,"2013-05-15 11:40","2013-05-15 07:00",6,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 22:30","2013-05-28 12:40",7,50,"2013-05-10 23:51","E","MOW","PAR",1,2,1,1,2,14547,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9",4,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,14553,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10",4,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,14553,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"11",5,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",1,1,1,1,1,14824,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",6,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",1,1,2,1,1,14930,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"13",7,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 12:45",6,45,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14987,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",7,"2013-05-15 12:10","2013-05-15 07:35",6,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:30","2013-05-28 13:20",6,10,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,14987,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",1,3,2,1,3,15120,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"16",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",1,3,2,1,3,15120,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"17",8,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",1,3,2,1,3,15120,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"18",9,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,15383,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19",9,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",1,2,2,1,2,15383,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"20",10,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21",10,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"22",10,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23",10,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:20","2013-05-28 18:45",5,35,"2013-05-10 23:51","E","MOW","PAR",4,1,2,4,1,15597,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"24",11,"2013-05-15 09:00","2013-05-15 05:30",5,30,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,3,2,1,15598,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"25",11,"2013-05-15 19:35","2013-05-15 16:00",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",2,1,3,2,1,15598,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"27",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 18:10",7,55,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"28",12,"2013-05-15 19:35","2013-05-15 12:25",9,10,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 20:20",5,45,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"29",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 18:10",7,55,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"31",12,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 20:20",5,45,"2013-05-10 23:51","E","MOW","PAR",2,3,2,2,3,15598,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"32",13,"2013-05-15 22:15","2013-05-15 18:15",6,0,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",1,1,3,1,1,15670,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"33",14,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",4,1,3,4,1,15704,1,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"34",14,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",4,1,3,4,1,15704,1,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"35",14,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",4,1,3,4,1,15704,1,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"36",14,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",4,1,3,4,1,15704,1,1,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"37",15,"2013-05-15 22:15","2013-05-15 18:15",6,0,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",1,3,3,1,3,15854,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"38",15,"2013-05-15 22:15","2013-05-15 18:15",6,0,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",1,3,3,1,3,15854,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"39",15,"2013-05-15 22:15","2013-05-15 18:15",6,0,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",1,3,3,1,3,15854,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"40",16,"2013-05-15 19:15","2013-05-15 15:40",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 20:05","2013-05-28 11:00",7,5,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,15876,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"41",16,"2013-05-15 21:35","2013-05-15 15:40",7,55,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 20:05","2013-05-28 11:00",7,5,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,15876,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"42",17,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"43",17,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"44",17,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"45",17,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"46",17,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"47",17,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"48",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"49",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"50",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"51",17,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"52",17,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"53",17,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",4,3,3,4,3,15893,1,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"54",18,"2013-05-15 19:15","2013-05-15 15:40",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:50","2013-05-28 07:00",5,50,"2013-05-10 23:51","E","MOW","PAR",2,1,1,2,1,15897,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"55",18,"2013-05-15 21:35","2013-05-15 15:40",7,55,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:50","2013-05-28 07:00",5,50,"2013-05-10 23:51","E","MOW","PAR",2,1,1,2,1,15897,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56",19,"2013-05-15 19:15","2013-05-15 15:40",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:45","2013-05-28 06:10",6,35,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,15902,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"57",19,"2013-05-15 21:35","2013-05-15 15:40",7,55,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:45","2013-05-28 06:10",6,35,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,15902,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"58",20,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 20:05","2013-05-28 11:00",7,5,"2013-05-10 23:51","E","MOW","PAR",1,1,2,1,1,15958,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"59",21,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",1,3,2,1,3,15981,1,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"60",21,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 21:40","2013-05-28 13:25",6,15,"2013-05-10 23:51","E","MOW","PAR",1,3,2,1,3,15981,1,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"61",21,"2013-05-15 22:20","2013-05-15 16:30",7,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 04:05","2013-05-28 20:20",5,45,"2013-05-10 23:51","E","MOW","PAR",1,3,2,1,3,15981,1,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"62",22,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:45","2013-05-28 06:10",6,35,"2013-05-10 23:51","E","MOW","PAR",1,1,2,1,1,15983,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"63",23,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"64",23,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"65",23,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"66",23,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"67",23,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",23,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"69",23,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"70",23,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"71",24,"2013-05-15 19:35","2013-05-15 15:45",5,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,16289,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"72",24,"2013-05-15 22:05","2013-05-15 15:45",8,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,16289,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"73",25,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:50","2013-05-28 07:00",5,50,"2013-05-10 23:51","E","MOW","PAR",1,1,2,1,1,16513,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"74",26,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:55","2013-05-28 09:50",6,5,"2013-05-10 23:51","E","MOW","PAR",1,1,1,1,1,16540,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"75",27,"2013-05-15 19:15","2013-05-15 15:40",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:10","2013-05-28 07:15",5,55,"2013-05-10 23:51","E","MOW","PAR",2,2,3,2,2,16975,1,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"76",27,"2013-05-15 19:15","2013-05-15 15:40",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 16:35","2013-05-28 07:15",7,20,"2013-05-10 23:51","E","MOW","PAR",2,2,3,2,2,16975,1,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"77",27,"2013-05-15 21:35","2013-05-15 15:40",7,55,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:10","2013-05-28 07:15",5,55,"2013-05-10 23:51","E","MOW","PAR",2,2,3,2,2,16975,1,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"78",27,"2013-05-15 21:35","2013-05-15 15:40",7,55,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 16:35","2013-05-28 07:15",7,20,"2013-05-10 23:51","E","MOW","PAR",2,2,3,2,2,16975,1,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"79",28,"2013-05-15 19:35","2013-05-15 16:00",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 15:35","2013-05-28 07:25",6,10,"2013-05-10 23:51","E","MOW","PAR",1,3,3,1,3,17088,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
