,arr_time,dep_time,dur_hours,dur_minutes,fl_class,fl_from,fl_to,parse_time
188,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
189,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
190,2013-05-30 16:00,2013-05-30 06:40,7,20,B,LED,ROM,2013-05-13 16:25
191,2013-05-31 00:25,2013-05-30 06:40,15,45,B,LED,ROM,2013-05-13 16:25
192,2013-05-30 16:00,2013-05-30 08:45,5,15,B,LED,ROM,2013-05-13 16:25
193,2013-05-31 00:25,2013-05-30 08:45,13,40,B,LED,ROM,2013-05-13 16:25
194,2013-05-31 00:25,2013-05-30 12:05,10,20,B,LED,ROM,2013-05-13 16:25
195,2013-05-31 00:25,2013-05-30 14:30,7,55,B,LED,ROM,2013-05-13 16:25
196,2013-05-31 00:25,2013-05-30 17:20,5,5,B,LED,ROM,2013-05-13 16:25
197,2013-05-16 21:00,2013-05-16 17:10,5,50,B,LED,ROM,2013-05-13 16:25
198,2013-05-30 16:00,2013-05-30 06:40,7,20,B,LED,ROM,2013-05-13 16:25
199,2013-05-30 16:00,2013-05-30 08:45,5,15,B,LED,ROM,2013-05-13 16:25
200,2013-05-31 00:25,2013-05-30 12:05,10,20,B,LED,ROM,2013-05-13 16:25
201,2013-05-31 00:25,2013-05-30 14:30,7,55,B,LED,ROM,2013-05-13 16:25
202,2013-05-31 00:25,2013-05-30 17:20,5,5,B,LED,ROM,2013-05-13 16:25
203,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
204,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
205,2013-05-31 14:15,2013-05-30 19:55,16,20,B,LED,ROM,2013-05-13 16:25
206,2013-05-16 21:00,2013-05-16 17:10,5,50,B,LED,ROM,2013-05-13 16:25
207,2013-05-30 18:10,2013-05-30 06:45,9,25,B,LED,ROM,2013-05-13 16:25
208,2013-05-30 18:10,2013-05-30 10:10,6,0,B,LED,ROM,2013-05-13 16:25
209,2013-05-31 00:15,2013-05-30 13:20,8,55,B,LED,ROM,2013-05-13 16:25
210,2013-05-31 00:15,2013-05-30 14:55,7,20,B,LED,ROM,2013-05-13 16:25
211,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
212,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
213,2013-05-31 00:15,2013-05-30 06:45,15,30,B,LED,ROM,2013-05-13 16:25
214,2013-05-30 18:10,2013-05-30 06:45,9,25,B,LED,ROM,2013-05-13 16:25
215,2013-05-31 00:15,2013-05-30 10:10,12,5,B,LED,ROM,2013-05-13 16:25
216,2013-05-30 18:10,2013-05-30 10:10,6,0,B,LED,ROM,2013-05-13 16:25
217,2013-05-31 00:15,2013-05-30 13:20,8,55,B,LED,ROM,2013-05-13 16:25
218,2013-05-31 00:15,2013-05-30 14:55,7,20,B,LED,ROM,2013-05-13 16:25
219,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
220,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
221,2013-05-31 03:25,2013-05-30 15:05,10,20,B,LED,ROM,2013-05-13 16:25
222,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
223,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
224,2013-05-31 16:00,2013-05-30 19:05,18,55,B,LED,ROM,2013-05-13 16:25
225,2013-05-16 19:05,2013-05-16 15:05,6,0,B,LED,ROM,2013-05-13 16:25
226,2013-05-16 22:40,2013-05-16 15:05,9,35,B,LED,ROM,2013-05-13 16:25
227,2013-05-31 14:50,2013-05-30 20:05,16,45,B,LED,ROM,2013-05-13 16:25
228,2013-05-31 17:00,2013-05-30 20:05,18,55,B,LED,ROM,2013-05-13 16:25
229,2013-05-16 22:35,2013-05-16 18:30,6,5,B,LED,ROM,2013-05-13 16:25
230,2013-05-30 15:35,2013-05-30 07:00,6,35,B,LED,ROM,2013-05-13 16:25
231,2013-05-30 15:35,2013-05-30 07:10,6,25,B,LED,ROM,2013-05-13 16:25
232,2013-05-30 15:35,2013-05-30 07:10,6,25,B,LED,ROM,2013-05-13 16:25
233,2013-05-30 22:15,2013-05-30 10:20,9,55,B,LED,ROM,2013-05-13 16:25
234,2013-05-30 22:15,2013-05-30 12:50,7,25,B,LED,ROM,2013-05-13 16:25
235,2013-05-30 22:15,2013-05-30 12:50,7,25,B,LED,ROM,2013-05-13 16:25
236,2013-05-16 11:50,2013-05-16 07:15,6,35,B,LED,ROM,2013-05-13 16:25
237,2013-05-16 11:50,2013-05-16 07:15,6,35,B,LED,ROM,2013-05-13 16:25
238,2013-05-16 12:15,2013-05-16 07:15,7,0,B,LED,ROM,2013-05-13 16:25
239,2013-05-16 22:25,2013-05-16 16:30,7,55,B,LED,ROM,2013-05-13 16:25
240,2013-05-16 21:40,2013-05-16 16:30,7,10,B,LED,ROM,2013-05-13 16:25
241,2013-05-16 21:40,2013-05-16 16:30,7,10,B,LED,ROM,2013-05-13 16:25
242,2013-05-30 15:35,2013-05-30 07:00,6,35,B,LED,ROM,2013-05-13 16:25
243,2013-05-30 15:35,2013-05-30 07:10,6,25,B,LED,ROM,2013-05-13 16:25
244,2013-05-30 15:35,2013-05-30 07:10,6,25,B,LED,ROM,2013-05-13 16:25
245,2013-05-30 22:15,2013-05-30 10:20,9,55,B,LED,ROM,2013-05-13 16:25
246,2013-05-30 22:15,2013-05-30 12:50,7,25,B,LED,ROM,2013-05-13 16:25
247,2013-05-30 22:15,2013-05-30 12:50,7,25,B,LED,ROM,2013-05-13 16:25
248,2013-05-16 22:35,2013-05-16 18:30,6,5,B,LED,ROM,2013-05-13 16:25
249,2013-05-30 17:35,2013-05-30 06:20,9,15,B,LED,ROM,2013-05-13 16:25
250,2013-05-16 17:50,2013-05-16 07:15,12,35,B,LED,ROM,2013-05-13 16:25
251,2013-05-16 11:50,2013-05-16 07:15,6,35,B,LED,ROM,2013-05-13 16:25
252,2013-05-16 14:40,2013-05-16 07:15,9,25,B,LED,ROM,2013-05-13 16:25
253,2013-05-16 16:00,2013-05-16 07:15,10,45,B,LED,ROM,2013-05-13 16:25
254,2013-05-16 19:45,2013-05-16 07:15,14,30,B,LED,ROM,2013-05-13 16:25
255,2013-05-16 20:40,2013-05-16 07:15,15,25,B,LED,ROM,2013-05-13 16:25
256,2013-05-16 21:40,2013-05-16 07:15,16,25,B,LED,ROM,2013-05-13 16:25
257,2013-05-16 21:40,2013-05-16 16:30,7,10,B,LED,ROM,2013-05-13 16:25
258,2013-05-17 09:05,2013-05-16 16:30,18,35,B,LED,ROM,2013-05-13 16:25
259,2013-05-17 09:20,2013-05-16 16:30,18,50,B,LED,ROM,2013-05-13 16:25
260,2013-05-30 22:15,2013-05-30 07:10,13,5,B,LED,ROM,2013-05-13 16:25
261,2013-05-30 15:35,2013-05-30 07:10,6,25,B,LED,ROM,2013-05-13 16:25
262,2013-05-30 22:15,2013-05-30 10:20,9,55,B,LED,ROM,2013-05-13 16:25
263,2013-05-30 22:15,2013-05-30 12:50,7,25,B,LED,ROM,2013-05-13 16:25
264,2013-05-31 15:35,2013-05-30 18:00,19,35,B,LED,ROM,2013-05-13 16:25
265,2013-05-31 15:35,2013-05-30 18:50,18,45,B,LED,ROM,2013-05-13 16:25
266,2013-05-31 17:55,2013-05-30 20:40,19,15,B,LED,ROM,2013-05-13 16:25
267,2013-05-31 15:35,2013-05-30 20:40,16,55,B,LED,ROM,2013-05-13 16:25
268,2013-05-16 12:05,2013-05-16 10:20,3,45,B,LED,ROM,2013-05-13 16:25
269,2013-05-30 18:45,2013-05-30 13:05,3,40,B,LED,ROM,2013-05-13 16:25
270,2013-05-16 14:20,2013-05-16 06:10,10,10,B,LED,ROM,2013-05-13 16:25
271,2013-05-16 11:40,2013-05-16 06:10,7,30,B,LED,ROM,2013-05-13 16:25
272,2013-05-16 19:45,2013-05-16 07:15,14,30,B,LED,ROM,2013-05-13 16:25
273,2013-05-16 11:40,2013-05-16 07:15,6,25,B,LED,ROM,2013-05-13 16:25
274,2013-05-16 14:20,2013-05-16 07:15,9,5,B,LED,ROM,2013-05-13 16:25
275,2013-05-16 19:45,2013-05-16 10:25,11,20,B,LED,ROM,2013-05-13 16:25
276,2013-05-16 22:20,2013-05-16 10:25,13,55,B,LED,ROM,2013-05-13 16:25
277,2013-05-16 20:50,2013-05-16 10:25,12,25,B,LED,ROM,2013-05-13 16:25
278,2013-05-16 19:45,2013-05-16 11:50,9,55,B,LED,ROM,2013-05-13 16:25
279,2013-05-16 20:50,2013-05-16 11:50,11,0,B,LED,ROM,2013-05-13 16:25
280,2013-05-16 22:20,2013-05-16 11:50,12,30,B,LED,ROM,2013-05-13 16:25
281,2013-05-16 20:50,2013-05-16 13:05,9,45,B,LED,ROM,2013-05-13 16:25
282,2013-05-16 22:20,2013-05-16 13:05,11,15,B,LED,ROM,2013-05-13 16:25
283,2013-05-16 19:45,2013-05-16 13:05,8,40,B,LED,ROM,2013-05-13 16:25
284,2013-05-16 22:20,2013-05-16 13:50,10,30,B,LED,ROM,2013-05-13 16:25
285,2013-05-16 19:45,2013-05-16 13:50,7,55,B,LED,ROM,2013-05-13 16:25
286,2013-05-16 20:50,2013-05-16 13:50,9,0,B,LED,ROM,2013-05-13 16:25
287,2013-05-16 20:50,2013-05-16 15:45,7,5,B,LED,ROM,2013-05-13 16:25
288,2013-05-16 22:20,2013-05-16 15:45,8,35,B,LED,ROM,2013-05-13 16:25
289,2013-05-16 22:20,2013-05-16 16:20,8,0,B,LED,ROM,2013-05-13 16:25
290,2013-05-16 20:50,2013-05-16 16:20,6,30,B,LED,ROM,2013-05-13 16:25
291,2013-05-16 22:20,2013-05-16 17:40,6,40,B,LED,ROM,2013-05-13 16:25
292,2013-05-17 07:50,2013-05-16 21:35,12,15,B,LED,ROM,2013-05-13 16:25
293,2013-05-17 07:50,2013-05-16 23:00,10,50,B,LED,ROM,2013-05-13 16:25
294,2013-05-17 11:40,2013-05-16 23:00,14,40,B,LED,ROM,2013-05-13 16:25
295,2013-05-30 18:45,2013-05-30 13:05,3,40,B,LED,ROM,2013-05-13 16:25
296,2013-05-16 12:05,2013-05-16 10:20,3,45,B,LED,ROM,2013-05-13 16:25
297,2013-05-31 11:50,2013-05-30 17:55,15,55,B,LED,ROM,2013-05-13 16:25
298,2013-05-16 14:20,2013-05-16 06:10,10,10,B,LED,ROM,2013-05-13 16:25
299,2013-05-16 11:40,2013-05-16 06:10,7,30,B,LED,ROM,2013-05-13 16:25
300,2013-05-16 19:45,2013-05-16 07:15,14,30,B,LED,ROM,2013-05-13 16:25
301,2013-05-16 11:40,2013-05-16 07:15,6,25,B,LED,ROM,2013-05-13 16:25
302,2013-05-16 14:20,2013-05-16 07:15,9,5,B,LED,ROM,2013-05-13 16:25
303,2013-05-16 19:45,2013-05-16 10:25,11,20,B,LED,ROM,2013-05-13 16:25
304,2013-05-16 22:20,2013-05-16 10:25,13,55,B,LED,ROM,2013-05-13 16:25
305,2013-05-16 20:50,2013-05-16 10:25,12,25,B,LED,ROM,2013-05-13 16:25
306,2013-05-16 19:45,2013-05-16 11:50,9,55,B,LED,ROM,2013-05-13 16:25
307,2013-05-16 20:50,2013-05-16 11:50,11,0,B,LED,ROM,2013-05-13 16:25
308,2013-05-16 22:20,2013-05-16 11:50,12,30,B,LED,ROM,2013-05-13 16:25
309,2013-05-16 20:50,2013-05-16 13:05,9,45,B,LED,ROM,2013-05-13 16:25
310,2013-05-16 22:20,2013-05-16 13:05,11,15,B,LED,ROM,2013-05-13 16:25
311,2013-05-16 19:45,2013-05-16 13:05,8,40,B,LED,ROM,2013-05-13 16:25
312,2013-05-16 22:20,2013-05-16 13:50,10,30,B,LED,ROM,2013-05-13 16:25
313,2013-05-16 19:45,2013-05-16 13:50,7,55,B,LED,ROM,2013-05-13 16:25
314,2013-05-16 20:50,2013-05-16 13:50,9,0,B,LED,ROM,2013-05-13 16:25
315,2013-05-16 20:50,2013-05-16 15:45,7,5,B,LED,ROM,2013-05-13 16:25
316,2013-05-16 22:20,2013-05-16 15:45,8,35,B,LED,ROM,2013-05-13 16:25
317,2013-05-16 22:20,2013-05-16 16:20,8,0,B,LED,ROM,2013-05-13 16:25
318,2013-05-16 20:50,2013-05-16 16:20,6,30,B,LED,ROM,2013-05-13 16:25
319,2013-05-16 22:20,2013-05-16 17:40,6,40,B,LED,ROM,2013-05-13 16:25
320,2013-05-17 07:50,2013-05-16 21:35,12,15,B,LED,ROM,2013-05-13 16:25
321,2013-05-17 07:50,2013-05-16 23:00,10,50,B,LED,ROM,2013-05-13 16:25
322,2013-05-17 11:40,2013-05-16 23:00,14,40,B,LED,ROM,2013-05-13 16:25
323,2013-05-30 19:40,2013-05-30 10:40,7,0,B,LED,ROM,2013-05-13 16:25
324,2013-05-30 23:20,2013-05-30 10:40,10,40,B,LED,ROM,2013-05-13 16:25
325,2013-05-30 22:10,2013-05-30 10:40,9,30,B,LED,ROM,2013-05-13 16:25
326,2013-05-30 20:45,2013-05-30 10:40,8,5,B,LED,ROM,2013-05-13 16:25
327,2013-05-30 23:20,2013-05-30 12:40,8,40,B,LED,ROM,2013-05-13 16:25
328,2013-05-31 00:50,2013-05-30 12:40,10,10,B,LED,ROM,2013-05-13 16:25
329,2013-05-30 22:10,2013-05-30 12:40,7,30,B,LED,ROM,2013-05-13 16:25
330,2013-05-30 20:45,2013-05-30 12:40,6,5,B,LED,ROM,2013-05-13 16:25
331,2013-05-31 08:20,2013-05-30 21:40,8,40,B,LED,ROM,2013-05-13 16:25
332,2013-05-31 10:50,2013-05-30 21:40,11,10,B,LED,ROM,2013-05-13 16:25
333,2013-05-31 09:35,2013-05-30 21:40,9,55,B,LED,ROM,2013-05-13 16:25
334,2013-05-31 10:50,2013-05-30 23:05,9,45,B,LED,ROM,2013-05-13 16:25
335,2013-05-31 08:20,2013-05-30 23:05,7,15,B,LED,ROM,2013-05-13 16:25
336,2013-05-31 09:35,2013-05-30 23:05,8,30,B,LED,ROM,2013-05-13 16:25
337,2013-05-31 12:15,2013-05-30 23:05,11,10,B,LED,ROM,2013-05-13 16:25
338,2013-05-16 22:35,2013-05-16 18:30,6,5,B,LED,ROM,2013-05-13 16:25
339,2013-05-17 09:35,2013-05-16 18:30,17,5,B,LED,ROM,2013-05-13 16:25
340,2013-05-30 17:35,2013-05-30 06:20,9,15,B,LED,ROM,2013-05-13 16:25
341,2013-05-30 17:35,2013-05-30 08:55,6,40,B,LED,ROM,2013-05-13 16:25
342,2013-05-31 17:35,2013-05-30 19:55,19,40,B,LED,ROM,2013-05-13 16:25
343,2013-05-16 11:50,2013-05-16 07:15,6,35,B,LED,ROM,2013-05-13 16:25
344,2013-05-16 11:50,2013-05-16 07:15,6,35,B,LED,ROM,2013-05-13 16:25
345,2013-05-16 12:15,2013-05-16 07:15,7,0,B,LED,ROM,2013-05-13 16:25
346,2013-05-16 21:40,2013-05-16 16:30,7,10,B,LED,ROM,2013-05-13 16:25
347,2013-05-16 21:40,2013-05-16 16:30,7,10,B,LED,ROM,2013-05-13 16:25
348,2013-05-16 22:25,2013-05-16 16:30,7,55,B,LED,ROM,2013-05-13 16:25
349,2013-05-30 17:35,2013-05-30 06:20,9,15,B,LED,ROM,2013-05-13 16:25
350,2013-05-16 17:50,2013-05-16 07:15,12,35,B,LED,ROM,2013-05-13 16:25
351,2013-05-16 11:50,2013-05-16 07:15,6,35,B,LED,ROM,2013-05-13 16:25
352,2013-05-16 14:40,2013-05-16 07:15,9,25,B,LED,ROM,2013-05-13 16:25
353,2013-05-16 16:00,2013-05-16 07:15,10,45,B,LED,ROM,2013-05-13 16:25
354,2013-05-16 19:45,2013-05-16 07:15,14,30,B,LED,ROM,2013-05-13 16:25
355,2013-05-16 20:40,2013-05-16 07:15,15,25,B,LED,ROM,2013-05-13 16:25
356,2013-05-16 21:40,2013-05-16 07:15,16,25,B,LED,ROM,2013-05-13 16:25
357,2013-05-16 21:40,2013-05-16 16:30,7,10,B,LED,ROM,2013-05-13 16:25
358,2013-05-17 09:05,2013-05-16 16:30,18,35,B,LED,ROM,2013-05-13 16:25
359,2013-05-17 09:20,2013-05-16 16:30,18,50,B,LED,ROM,2013-05-13 16:25
360,2013-05-30 17:35,2013-05-30 06:20,9,15,B,LED,ROM,2013-05-13 16:25
361,2013-05-30 17:35,2013-05-30 08:55,6,40,B,LED,ROM,2013-05-13 16:25
362,2013-05-31 17:35,2013-05-30 19:55,19,40,B,LED,ROM,2013-05-13 16:25
363,2013-05-16 12:05,2013-05-16 10:20,3,45,B,LED,ROM,2013-05-13 16:25
364,2013-05-31 14:50,2013-05-30 20:05,16,45,B,LED,ROM,2013-05-13 16:25
365,2013-05-31 17:00,2013-05-30 20:05,18,55,B,LED,ROM,2013-05-13 16:25
366,2013-05-16 17:10,2013-05-16 12:20,6,50,B,LED,ROM,2013-05-13 16:25
367,2013-05-30 18:45,2013-05-30 13:05,3,40,B,LED,ROM,2013-05-13 16:25
368,2013-05-16 14:20,2013-05-16 05:20,11,0,B,LED,ROM,2013-05-13 16:25
369,2013-05-31 11:50,2013-05-30 17:55,15,55,B,LED,ROM,2013-05-13 16:25
370,2013-05-16 17:10,2013-05-16 12:20,6,50,B,LED,ROM,2013-05-13 16:25
371,2013-05-31 03:25,2013-05-30 15:05,10,20,B,LED,ROM,2013-05-13 16:25
372,2013-05-16 19:20,2013-05-16 11:00,10,20,B,LED,ROM,2013-05-13 16:25
373,2013-05-30 18:45,2013-05-30 13:05,3,40,B,LED,ROM,2013-05-13 16:25
374,2013-05-16 12:05,2013-05-16 10:20,3,45,B,LED,ROM,2013-05-13 16:25
375,2013-05-30 18:45,2013-05-30 13:05,3,40,B,LED,ROM,2013-05-13 16:25
